Id, Title, Brand, Image, Price 
43,HP ELITE CORE i7 (8 PROCESSOR) TURBO 3.5GHz LAPTOP w/8-16GB✓480GB SSD✓15.6" HD,HP,https://i.ebayimg.com/thumbs/images/m/mQpcGnhQ1OPK56Gnobnmgsg/s-l225.jpg,$315.00  
44,Dell Inspiron 5579 15.6" Full-HD Touch 2-in-1: i7-8550U 16GB/512SSD/BacklitKB,Dell,https://i.ebayimg.com/thumbs/images/g/4wcAAOSwQ-1byO6U/s-l225.jpg,$799.99 
45,Acer Aspire E1-51015.6" Laptop,Acer,https://i.ebayimg.com/thumbs/images/g/iLcAAOSwdzla~aUN/s-l225.jpg,$499.99 
46,Lenovo ThinkPad L520 Intel Core i3-2350M/2.30GHz /4GB/160GB HDD/DVD±RW/ Win 10,Lenovo,https://i.ebayimg.com/thumbs/images/g/t9QAAOSwV9Rc0P2W/s-l225.jpg,$115.00 
47,HP 15.6" Laptop i3 2.2GHZ 4GB 2TB Windows 10 (15-DA0087CL),HP,https://i.ebayimg.com/thumbs/images/g/xVYAAOSw81lcYs8t/s-l225.jpg,$329.69 
48,Panasonic toughbook CF-31 MK4 Core i5 2.7ghz 8GB 512GBBacklit Rugged Win7 CF31,Panasonic,https://i.ebayimg.com/thumbs/images/g/31UAAOSwh1paCe52/s-l225.jpg,$712.05 
49,Lenovo ThinkPad E440 14" Intel Core i5-4210M @2.60GHz 4GB MEM 500GB HDD Wins 10,Lenovo,https://i.ebayimg.com/thumbs/images/g/Zw0AAOSwfMlb8zn3/s-l225.jpg,$174.91 
50,HP EliteBook 840 G5 Intel Core i5-8350U @1.70GHz 8GB RAM256GB SSD Win 10,HP,https://i.ebayimg.com/thumbs/images/g/gTwAAOSwvqVb-M~3/s-l225.jpg,$550.00 
51,Used Dell Inspiron 15 Core i5-7200U Dual-Core 2.5GHz 8GB 1TB DVDRW15.6 Laptop W1,Dell,https://i.ebayimg.com/thumbs/images/g/wcIAAOSwHWtc0NNv/s-l225.jpg,$472.52 
52,Dell E6520 Laptop Windows10_Intel I5_ 8GB 500GB _Office 2016 PRO_Case Scratches,Dell,https://i.ebayimg.com/thumbs/images/g/SZAAAOSwfX9b-qBd/s-l225.jpg,$292.99 
